iter	Passed	Remaining
477	674	736
478	675	735
479	677	733
480	678	731
481	679	730
482	680	728
483	681	727
484	683	725
485	684	723
486	685	722
487	686	720
488	688	719
489	690	718
490	692	717
491	693	716
492	694	714
493	696	712
494	697	711
495	698	709
496	699	707
497	700	706
498	701	704
499	703	703
500	704	701
501	705	699
502	706	697
503	707	696
504	708	694
505	709	692
506	710	690
507	711	689
508	712	687
509	713	685
510	715	684
511	716	682
512	718	682
513	720	680
514	721	679
515	722	677
516	723	675
517	724	673
518	725	672
519	726	670
520	727	668
521	728	667
522	729	665
523	731	664
524	732	662
525	733	660
526	734	659
527	736	657
528	737	656
529	738	654
530	739	652
531	740	651
532	741	649
533	744	649
534	745	647
535	746	646
536	747	644
537	748	642
538	749	641
539	751	640
540	752	638
541	754	637
542	756	636
543	757	634
544	758	632
545	759	631
546	760	629
547	761	628
548	762	626
549	763	624
550	764	622
551	765	621
552	766	619
553	767	618
554	768	616
555	770	614
556	771	613
557	771	611
558	772	609
559	773	608
560	774	606
561	775	604
562	776	602
563	777	601
564	778	599
565	779	597
566	780	596
567	782	595
568	783	593
569	784	591
570	785	590
571	786	588
572	787	587
573	788	585
574	789	583
575	790	582
576	791	580
577	792	578
578	794	577
579	796	576
580	797	574
581	799	574
582	800	572
583	802	571
584	803	569
585	804	568
586	805	566
587	806	564
588	807	563
589	808	561
590	809	560
591	811	559
592	812	557
593	813	556
594	814	554
595	815	552
596	816	551
597	817	549
598	818	548
599	819	546
600	820	544
601	821	543
602	823	542
603	824	540
604	825	539
605	826	537
606	827	535
607	828	534
608	829	532
609	830	531
610	831	529
611	832	527
612	833	526
613	834	524
614	835	523
615	836	521
616	837	520
617	838	518
618	839	516
619	840	515
620	841	513
621	843	512
622	844	510
623	845	509
624	846	507
625	847	506
626	848	504
627	850	503
628	851	502
629	852	500
630	854	499
631	855	498
632	857	497
633	858	495
634	859	493
635	860	492
636	861	490
637	862	489
638	863	487
639	864	486
640	865	484
641	866	483
642	868	482
643	869	480
644	870	479
645	871	477
646	872	475
647	873	474
648	874	472
649	875	471
650	876	469
651	878	468
652	879	467
653	880	466
654	882	464
655	883	463
656	884	461
657	885	460
658	886	458
659	887	457
660	888	455
661	889	454
662	890	452
663	891	451
664	892	449
665	893	448
666	894	446
667	895	445
668	896	443
669	897	442
670	898	440
671	899	438
672	900	437
673	901	436
674	903	434
675	904	433
676	905	431
677	906	430
678	907	428
679	908	427
680	909	425
681	910	424
682	911	423
683	912	421
684	914	420
685	915	419
686	916	417
687	918	416
688	919	414
689	920	413
690	921	411
691	922	410
692	924	409
693	925	408
694	927	406
695	928	405
696	929	404
697	930	402
698	931	401
699	932	399
700	934	398
701	935	397
702	937	395
703	938	394
704	940	393
705	941	392
706	943	390
707	944	389
708	945	388
709	946	386
710	947	385
711	949	383
712	950	382
713	951	381
714	952	379
715	953	378
716	955	377
717	957	375
718	958	374
719	959	373
720	960	371
721	961	370
722	963	369
723	964	367
724	965	366
725	967	364
726	968	363
727	969	362
728	971	361
729	973	359
730	974	358
731	975	357
732	976	355
733	977	354
734	979	353
735	980	351
736	981	350
737	982	348
738	983	347
739	985	346
740	986	344
741	988	343
742	989	342
743	990	340
744	991	339
745	992	338
746	994	336
747	995	335
748	996	333
749	997	332
750	999	331
751	1000	330
752	1002	328
753	1003	327
754	1004	326
755	1007	325
756	1009	323
757	1010	322
758	1011	321
759	1013	319
760	1014	318
761	1015	317
762	1016	315
763	1017	314
764	1018	312
765	1019	311
766	1020	310
767	1021	308
768	1023	307
769	1024	305
770	1025	304
771	1026	303
772	1027	301
773	1028	300
